"Plot Title: 20432185_TidbiTv2_LOGGER1"
"#","Date Time, GMT-07:00","Avg: Temperature, °C (LGR S/N: 20432185)","Coupler Detached (LGR S/N: 20432185)","Coupler Attached (LGR S/N: 20432185)","Stopped (LGR S/N: 20432185)","End Of File (LGR S/N: 20432185)"
1,03/11/19 07:34:00 AM,13.906,,,,
2,03/11/19 07:34:51 AM,,Logged,,,
3,03/11/19 07:44:00 AM,15.414,,,,
4,03/11/19 07:54:00 AM,16.582,,,,
5,03/11/19 08:04:00 AM,16.701,,,,
6,03/11/19 08:14:00 AM,15.963,,,,
7,03/11/19 08:24:00 AM,15.748,,,,
8,03/11/19 08:34:00 AM,15.676,,,,
9,03/11/19 08:44:00 AM,15.652,,,,
10,03/11/19 08:54:00 AM,15.652,,,,
11,03/11/19 09:04:00 AM,15.652,,,,
12,03/11/19 09:14:00 AM,15.676,,,,
13,03/11/19 09:24:00 AM,15.724,,,,
14,03/11/19 09:34:00 AM,15.772,,,,
15,03/11/19 09:44:00 AM,15.485,,,,
16,03/11/19 09:54:00 AM,15.318,,,,
17,03/11/19 10:04:00 AM,15.366,,,,
18,03/11/19 10:14:00 AM,15.414,,,,
19,03/11/19 10:24:00 AM,15.509,,,,
20,03/11/19 10:34:00 AM,15.581,,,,
21,03/11/19 10:44:00 AM,15.676,,,,
22,03/11/19 10:54:00 AM,15.724,,,,
23,03/11/19 11:04:00 AM,15.485,,,,
24,03/11/19 11:14:00 AM,15.390,,,,
25,03/11/19 11:24:00 AM,15.819,,,,
26,03/11/19 11:34:00 AM,15.939,,,,
27,03/11/19 11:44:00 AM,15.652,,,,
28,03/11/19 11:54:00 AM,15.676,,,,
29,03/11/19 12:04:00 PM,15.509,,,,
30,03/11/19 12:14:00 PM,15.342,,,,
31,03/11/19 12:24:00 PM,15.390,,,,
32,03/11/19 12:34:00 PM,15.485,,,,
33,03/11/19 12:44:00 PM,15.581,,,,
34,03/11/19 12:54:00 PM,15.318,,,,
35,03/11/19 01:04:00 PM,15.247,,,,
36,03/11/19 01:14:00 PM,15.342,,,,
37,03/11/19 01:24:00 PM,15.438,,,,
38,03/11/19 01:34:00 PM,15.366,,,,
39,03/11/19 01:44:00 PM,15.199,,,,
40,03/11/19 01:54:00 PM,15.270,,,,
41,03/11/19 02:04:00 PM,15.390,,,,
42,03/11/19 02:14:00 PM,15.461,,,,
43,03/11/19 02:24:00 PM,15.223,,,,
44,03/11/19 02:34:00 PM,15.247,,,,
45,03/11/19 02:44:00 PM,15.366,,,,
46,03/11/19 02:54:00 PM,15.247,,,,
47,03/11/19 03:04:00 PM,15.151,,,,
48,03/11/19 03:14:00 PM,15.270,,,,
49,03/11/19 03:24:00 PM,15.438,,,,
50,03/11/19 03:34:00 PM,15.270,,,,
51,03/11/19 03:44:00 PM,15.223,,,,
52,03/11/19 03:54:00 PM,15.366,,,,
53,03/11/19 04:04:00 PM,15.127,,,,
54,03/11/19 04:14:00 PM,15.127,,,,
55,03/11/19 04:24:00 PM,15.270,,,,
56,03/11/19 04:34:00 PM,15.438,,,,
57,03/11/19 04:44:00 PM,15.294,,,,
58,03/11/19 04:54:00 PM,15.247,,,,
59,03/11/19 05:04:00 PM,15.175,,,,
60,03/11/19 05:14:00 PM,15.079,,,,
61,03/11/19 05:24:00 PM,15.175,,,,
62,03/11/19 05:34:00 PM,15.318,,,,
63,03/11/19 05:44:00 PM,15.151,,,,
64,03/11/19 05:54:00 PM,15.151,,,,
65,03/11/19 06:04:00 PM,15.294,,,,
66,03/11/19 06:14:00 PM,15.247,,,,
67,03/11/19 06:24:00 PM,15.151,,,,
68,03/11/19 06:34:00 PM,15.247,,,,
69,03/11/19 06:44:00 PM,15.270,,,,
70,03/11/19 06:54:00 PM,15.247,,,,
71,03/11/19 07:04:00 PM,15.199,,,,
72,03/11/19 07:14:00 PM,15.318,,,,
73,03/11/19 07:24:00 PM,15.103,,,,
74,03/11/19 07:34:00 PM,15.127,,,,
75,03/11/19 07:44:00 PM,15.247,,,,
76,03/11/19 07:54:00 PM,15.414,,,,
77,03/11/19 08:04:00 PM,15.199,,,,
78,03/11/19 08:14:00 PM,15.175,,,,
79,03/11/19 08:24:00 PM,15.318,,,,
80,03/11/19 08:34:00 PM,15.318,,,,
81,03/11/19 08:44:00 PM,15.127,,,,
82,03/11/19 08:54:00 PM,15.199,,,,
83,03/11/19 09:04:00 PM,15.342,,,,
84,03/11/19 09:14:00 PM,15.485,,,,
85,03/11/19 09:24:00 PM,15.318,,,,
86,03/11/19 09:34:00 PM,15.247,,,,
87,03/11/19 09:44:00 PM,15.318,,,,
88,03/11/19 09:54:00 PM,15.438,,,,
89,03/11/19 10:04:00 PM,15.557,,,,
90,03/11/19 10:14:00 PM,15.270,,,,
91,03/11/19 10:24:00 PM,15.270,,,,
92,03/11/19 10:34:00 PM,15.342,,,,
93,03/11/19 10:44:00 PM,15.461,,,,
94,03/11/19 10:54:00 PM,15.581,,,,
95,03/11/19 11:04:00 PM,15.318,,,,
96,03/11/19 11:14:00 PM,15.294,,,,
97,03/11/19 11:24:00 PM,15.366,,,,
98,03/11/19 11:34:00 PM,15.485,,,,
99,03/11/19 11:44:00 PM,15.581,,,,
100,03/11/19 11:54:00 PM,15.366,,,,
101,03/12/19 12:04:00 AM,15.318,,,,
102,03/12/19 12:14:00 AM,15.366,,,,
103,03/12/19 12:24:00 AM,15.485,,,,
104,03/12/19 12:34:00 AM,15.581,,,,
105,03/12/19 12:44:00 AM,15.605,,,,
106,03/12/19 12:54:00 AM,15.342,,,,
107,03/12/19 01:04:00 AM,15.366,,,,
108,03/12/19 01:14:00 AM,15.438,,,,
109,03/12/19 01:24:00 AM,15.533,,,,
110,03/12/19 01:34:00 AM,15.629,,,,
