"Plot Title: 11-25MAR19_20449374_Conductivity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,03/11/19 07:21:30 AM,33041.7,28087.4,8.37,40865.5,26.1365,Logged,,,
2,03/11/19 07:31:30 AM,33041.7,28068.1,8.36,40848.0,26.1241,,,,
3,03/11/19 07:41:30 AM,33041.7,28073.6,8.37,40845.6,26.1223,,,,
4,03/11/19 07:51:30 AM,33041.7,28090.2,8.37,40869.5,26.1393,,,,
5,03/11/19 08:01:30 AM,33041.7,28087.4,8.37,40865.5,26.1365,,,,
6,03/11/19 08:11:30 AM,33041.7,28087.4,8.37,40865.5,26.1365,,,,
7,03/11/19 08:21:30 AM,33041.7,28073.6,8.37,40845.6,26.1223,,,,
8,03/11/19 08:31:30 AM,33041.7,28070.8,8.37,40841.5,26.1194,,,,
9,03/11/19 08:41:30 AM,33041.7,28070.8,8.39,40820.7,26.1047,,,,
10,03/11/19 08:51:30 AM,33041.7,28087.4,8.39,40844.6,26.1217,,,,
11,03/11/19 09:01:30 AM,33041.7,28065.3,8.40,40802.4,26.0916,,,,
12,03/11/19 09:11:30 AM,33041.7,28117.9,8.41,40867.8,26.1381,,,,
13,03/11/19 09:21:30 AM,33041.7,28092.9,8.41,40831.8,26.1125,,,,
14,03/11/19 09:31:30 AM,33041.7,28115.1,8.43,40842.9,26.1204,,,,
15,03/11/19 09:41:30 AM,33041.7,28098.5,8.43,40819.0,26.1035,,,,
16,03/11/19 09:51:30 AM,33041.7,28109.6,8.44,40824.6,26.1074,,,,
17,03/11/19 10:01:30 AM,33041.7,28120.6,8.45,40830.1,26.1113,,,,
18,03/11/19 10:11:30 AM,33041.7,28115.1,8.45,40822.1,26.1057,,,,
19,03/11/19 10:21:30 AM,33041.7,28137.3,8.47,40833.3,26.1136,,,,
20,03/11/19 10:31:30 AM,33041.7,28151.2,8.47,40853.3,26.1278,,,,
21,03/11/19 10:41:30 AM,33041.7,28173.4,8.49,40864.4,26.1357,,,,
22,03/11/19 10:51:30 AM,33041.7,28181.7,8.49,40876.4,26.1442,,,,
23,03/11/19 11:01:30 AM,33041.7,28173.4,8.49,40864.4,26.1357,,,,
24,03/11/19 11:11:30 AM,33041.7,28159.5,8.51,40823.7,26.1068,,,,
25,03/11/19 11:21:30 AM,33041.7,28148.4,8.50,40818.1,26.1028,,,,
26,03/11/19 11:31:30 AM,33041.7,28142.8,8.50,40810.1,26.0971,,,,
27,03/11/19 11:41:30 AM,33041.7,28167.8,8.50,40846.0,26.1226,,,,
28,03/11/19 11:51:30 AM,33041.7,28159.5,8.50,40834.1,26.1141,,,,
29,03/11/19 12:01:30 PM,33041.7,28156.7,8.50,40830.0,26.1113,,,,
30,03/11/19 12:11:30 PM,33041.7,28167.8,8.51,40835.6,26.1152,,,,
31,03/11/19 12:21:30 PM,33041.7,28156.7,8.51,40819.7,26.1039,,,,
32,03/11/19 12:31:30 PM,33041.7,28165.0,8.51,40831.6,26.1124,,,,
33,03/11/19 12:41:30 PM,33041.7,28165.0,8.52,40821.2,26.1050,,,,
34,03/11/19 12:51:30 PM,33041.7,28187.3,8.52,40853.2,26.1278,,,,
35,03/11/19 01:01:30 PM,33041.7,28187.3,8.53,40842.9,26.1204,,,,
36,03/11/19 01:11:30 PM,33041.7,28173.4,8.53,40822.9,26.1062,,,,
37,03/11/19 01:21:30 PM,33041.7,28151.2,8.55,40770.3,26.0688,,,,
38,03/11/19 01:31:30 PM,33041.7,28173.4,8.56,40791.8,26.0841,,,,
39,03/11/19 01:41:30 PM,33041.7,28156.7,8.56,40767.8,26.0671,,,,
40,03/11/19 01:51:30 PM,33041.7,28134.5,8.56,40736.0,26.0444,,,,
41,03/11/19 02:01:30 PM,33041.7,28151.2,8.56,40759.9,26.0615,,,,
42,03/11/19 02:11:30 PM,33041.7,28129.0,8.56,40728.1,26.0388,,,,
43,03/11/19 02:21:30 PM,33041.7,28129.0,8.57,40717.7,26.0315,,,,
44,03/11/19 02:31:30 PM,33041.7,28090.2,8.58,40651.7,25.9846,,,,
45,03/11/19 02:41:30 PM,33041.7,28092.9,8.59,40645.3,25.9800,,,,
46,03/11/19 02:51:30 PM,33041.7,28059.8,8.59,40597.8,25.9463,,,,
47,03/11/19 03:01:30 PM,33041.7,28073.6,8.60,40607.3,25.9530,,,,
48,03/11/19 03:11:30 PM,33041.7,28076.4,8.62,40590.7,25.9412,,,,
49,03/11/19 03:21:30 PM,33041.7,28059.8,8.63,40556.6,25.9170,,,,
50,03/11/19 03:31:30 PM,33041.7,28076.4,8.64,40570.1,25.9266,,,,
51,03/11/19 03:41:30 PM,33041.7,28084.6,8.63,40592.1,25.9423,,,,
52,03/11/19 03:51:30 PM,33041.7,28076.4,8.64,40570.1,25.9266,,,,
53,03/11/19 04:01:30 PM,33041.7,28092.9,8.64,40593.7,25.9434,,,,
54,03/11/19 04:11:30 PM,33041.7,28076.4,8.64,40570.1,25.9266,,,,
55,03/11/19 04:21:30 PM,33041.7,28081.9,8.63,40588.3,25.9395,,,,
56,03/11/19 04:31:30 PM,33041.7,28076.4,8.63,40580.4,25.9339,,,,
57,03/11/19 04:41:30 PM,33041.7,28098.5,8.62,40622.4,25.9637,,,,
58,03/11/19 04:51:30 PM,33041.7,28084.6,8.62,40602.4,25.9496,,,,
59,03/11/19 05:01:30 PM,33041.7,28076.4,8.60,40611.3,25.9559,,,,
60,03/11/19 05:11:30 PM,33041.7,28106.8,8.60,40654.9,25.9868,,,,
61,03/11/19 05:21:30 PM,33041.7,28090.2,8.59,40641.4,25.9773,,,,
62,03/11/19 05:31:30 PM,33041.7,28098.5,8.58,40663.6,25.9930,,,,
63,03/11/19 05:41:30 PM,33041.7,28106.8,8.57,40685.9,26.0088,,,,
64,03/11/19 05:51:30 PM,33041.7,28106.8,8.57,40685.9,26.0088,,,,
65,03/11/19 06:01:30 PM,33041.7,28084.6,8.56,40664.4,25.9936,,,,
66,03/11/19 06:11:30 PM,33041.7,28098.5,8.56,40684.3,26.0077,,,,
67,03/11/19 06:21:30 PM,33041.7,28142.8,8.56,40747.9,26.0529,,,,
68,03/11/19 06:31:30 PM,33041.7,28134.5,8.55,40746.3,26.0518,,,,
69,03/11/19 06:41:30 PM,33041.7,28117.9,8.56,40712.1,26.0275,,,,
70,03/11/19 06:51:30 PM,33041.7,28148.4,8.56,40755.9,26.0586,,,,
71,03/11/19 07:01:30 PM,33041.7,28120.6,8.56,40716.0,26.0303,,,,
72,03/11/19 07:11:30 PM,33041.7,28165.0,8.55,40790.1,26.0829,,,,
73,03/11/19 07:21:30 PM,33041.7,28156.7,8.56,40767.8,26.0671,,,,
74,03/11/19 07:31:30 PM,33041.7,28148.4,8.56,40755.9,26.0586,,,,
75,03/11/19 07:41:30 PM,33041.7,28165.0,8.55,40790.1,26.0829,,,,
76,03/11/19 07:51:30 PM,33041.7,28167.8,8.56,40783.8,26.0784,,,,
77,03/11/19 08:01:30 PM,33041.7,28178.9,8.56,40799.7,26.0897,,,,
78,03/11/19 08:11:30 PM,33041.7,28165.0,8.56,40779.7,26.0755,,,,
79,03/11/19 08:21:30 PM,33041.7,28156.7,8.55,40778.2,26.0744,,,,
80,03/11/19 08:31:30 PM,33041.7,28156.7,8.56,40767.8,26.0671,,,,
81,03/11/19 08:41:30 PM,33041.7,28170.6,8.57,40777.4,26.0739,,,,
82,03/11/19 08:51:30 PM,33041.7,28165.0,8.56,40779.7,26.0755,,,,
83,03/11/19 09:01:30 PM,33041.7,28165.0,8.56,40779.7,26.0755,,,,
84,03/11/19 09:11:30 PM,33041.7,28201.2,8.55,40842.1,26.1198,,,,
85,03/11/19 09:21:30 PM,33041.7,28195.6,8.55,40834.0,26.1141,,,,
86,03/11/19 09:31:30 PM,33041.7,28165.0,8.53,40810.8,26.0976,,,,
87,03/11/19 09:41:30 PM,33041.7,28140.1,8.53,40775.1,26.0722,,,,
88,03/11/19 09:51:30 PM,33041.7,28156.7,8.52,40809.3,26.0965,,,,
89,03/11/19 10:01:30 PM,33041.7,28140.1,8.52,40785.4,26.0796,,,,
90,03/11/19 10:11:30 PM,33041.7,28151.2,8.51,40811.8,26.0983,,,,
91,03/11/19 10:21:30 PM,33041.7,28120.6,8.50,40778.2,26.0744,,,,
92,03/11/19 10:31:30 PM,33041.7,28156.7,8.49,40840.4,26.1187,,,,
93,03/11/19 10:41:30 PM,33041.7,28140.1,8.49,40816.6,26.1017,,,,
94,03/11/19 10:51:30 PM,33041.7,28134.5,8.49,40808.5,26.0960,,,,
95,03/11/19 11:01:30 PM,33041.7,28142.8,8.49,40820.4,26.1045,,,,
96,03/11/19 11:11:30 PM,33041.7,28134.5,8.48,40818.9,26.1034,,,,
97,03/11/19 11:21:30 PM,33041.7,28156.7,8.48,40850.8,26.1260,,,,
98,03/11/19 11:31:30 PM,33041.7,28134.5,8.48,40818.9,26.1034,,,,
99,03/11/19 11:41:30 PM,33041.7,28134.5,8.48,40818.9,26.1034,,,,
100,03/11/19 11:51:30 PM,33041.7,28134.5,8.47,40829.3,26.1107,,,,
101,03/12/19 12:01:30 AM,33041.7,28120.6,8.45,40830.1,26.1113,,,,
102,03/12/19 12:11:30 AM,33041.7,28120.6,8.44,40840.5,26.1187,,,,
103,03/12/19 12:21:30 AM,33041.7,28115.1,8.45,40822.1,26.1057,,,,
104,03/12/19 12:31:30 AM,33041.7,28106.8,8.44,40820.6,26.1046,,,,
105,03/12/19 12:41:30 AM,33041.7,28076.4,8.44,40776.8,26.0735,,,,
106,03/12/19 12:51:30 AM,33041.7,28098.5,8.44,40808.6,26.0961,,,,
107,03/12/19 01:01:30 AM,33041.7,28054.3,8.43,40755.4,26.0582,,,,
108,03/12/19 01:11:30 AM,33041.7,27996.4,8.42,40682.4,26.0064,,,,
109,03/12/19 01:21:30 AM,33041.7,27930.5,8.41,40597.8,25.9463,,,,
110,03/12/19 01:31:30 AM,33041.7,27873.1,8.39,40535.8,25.9023,,,,
111,03/12/19 01:41:30 AM,33041.7,27824.0,8.36,40496.0,25.8740,,,,
112,03/12/19 01:51:30 AM,33041.7,27802.2,8.36,40464.6,25.8517,,,,
