"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °F (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,03/11/19 07:15:49 AM,11.60,47.37,0.00,0.0,,,,
2,03/11/19 07:25:49 AM,11.71,46.98,0.00,0.0,,,,
3,03/11/19 07:35:49 AM,11.73,46.87,0.00,0.0,,,,
4,03/11/19 07:45:49 AM,11.73,46.83,0.00,0.0,,,,
5,03/11/19 07:55:49 AM,11.74,46.83,0.00,0.0,,,,
6,03/11/19 08:05:49 AM,11.74,46.83,0.00,0.0,,,,
7,03/11/19 08:15:49 AM,11.74,46.83,0.00,0.0,,,,
8,03/11/19 08:25:49 AM,11.75,46.83,0.00,0.0,,,,
9,03/11/19 08:35:49 AM,11.75,46.83,0.00,0.0,,,,
10,03/11/19 08:45:49 AM,11.75,46.83,0.00,0.0,,,,
11,03/11/19 08:55:49 AM,11.74,46.83,0.00,0.0,,,,
12,03/11/19 09:05:49 AM,11.75,46.87,0.00,0.0,,,,
13,03/11/19 09:15:49 AM,11.74,46.87,0.00,0.0,,,,
14,03/11/19 09:25:49 AM,11.73,46.90,0.00,0.0,,,,
15,03/11/19 09:35:49 AM,11.73,46.90,0.00,0.0,,,,
16,03/11/19 09:45:49 AM,11.73,46.94,0.00,0.0,,,,
17,03/11/19 09:55:49 AM,11.72,46.94,0.00,0.0,,,,
18,03/11/19 10:05:49 AM,11.73,46.98,0.00,0.0,,,,
19,03/11/19 10:15:49 AM,11.73,46.98,0.00,0.0,,,,
20,03/11/19 10:25:49 AM,11.72,46.98,0.00,0.0,,,,
21,03/11/19 10:35:49 AM,11.73,47.01,0.00,0.0,,,,
22,03/11/19 10:45:49 AM,11.73,47.01,0.00,0.0,,,,
23,03/11/19 10:55:49 AM,11.71,47.05,0.00,0.0,,,,
24,03/11/19 11:05:49 AM,11.73,47.05,0.00,0.0,,,,
25,03/11/19 11:15:49 AM,11.72,47.05,0.00,0.0,,,,
26,03/11/19 11:25:49 AM,11.71,47.05,0.00,0.0,,,,
27,03/11/19 11:35:49 AM,11.71,47.05,0.00,0.0,,,,
28,03/11/19 11:45:49 AM,11.70,47.05,0.00,0.0,,,,
29,03/11/19 11:55:49 AM,11.70,47.05,0.00,0.0,,,,
30,03/11/19 12:05:49 PM,11.70,47.05,0.00,0.0,,,,
31,03/11/19 12:15:49 PM,11.71,47.08,0.00,0.0,,,,
32,03/11/19 12:25:49 PM,11.70,47.08,0.00,0.0,,,,
33,03/11/19 12:35:49 PM,11.72,47.08,0.00,0.0,,,,
34,03/11/19 12:45:49 PM,11.71,47.08,0.00,0.0,,,,
35,03/11/19 12:55:49 PM,11.70,47.08,0.00,0.0,,,,
36,03/11/19 01:05:49 PM,11.70,47.08,0.00,0.0,,,,
37,03/11/19 01:15:49 PM,11.70,47.12,0.00,0.0,,,,
38,03/11/19 01:25:49 PM,11.70,47.12,0.00,0.0,,,,
39,03/11/19 01:35:49 PM,11.70,47.12,0.00,0.0,,,,
40,03/11/19 01:45:49 PM,11.68,47.16,0.00,0.0,,,,
41,03/11/19 01:55:49 PM,11.68,47.16,0.00,0.0,,,,
42,03/11/19 02:05:49 PM,11.70,47.16,0.00,0.0,,,,
43,03/11/19 02:15:49 PM,11.71,47.16,0.00,0.0,,,,
44,03/11/19 02:25:49 PM,11.70,47.19,0.00,0.0,,,,
45,03/11/19 02:35:49 PM,11.71,47.19,0.00,0.0,,,,
46,03/11/19 02:45:49 PM,11.68,47.19,0.00,0.0,,,,
47,03/11/19 02:55:49 PM,11.70,47.23,0.00,0.0,,,,
48,03/11/19 03:05:49 PM,11.67,47.23,0.00,0.0,,,,
49,03/11/19 03:15:49 PM,11.67,47.26,0.00,0.0,,,,
50,03/11/19 03:25:49 PM,11.66,47.26,0.00,0.0,,,,
51,03/11/19 03:35:49 PM,11.65,47.26,0.00,0.0,,,,
52,03/11/19 03:45:49 PM,11.64,47.30,0.00,0.0,,,,
53,03/11/19 03:55:49 PM,11.64,47.30,0.00,0.0,,,,
54,03/11/19 04:05:49 PM,11.65,47.30,0.00,0.0,,,,
55,03/11/19 04:15:49 PM,11.65,47.30,0.00,0.0,,,,
56,03/11/19 04:25:49 PM,11.65,47.26,0.00,0.0,,,,
57,03/11/19 04:35:49 PM,11.64,47.26,0.00,0.0,,,,
58,03/11/19 04:45:49 PM,11.65,47.26,0.00,0.0,,,,
59,03/11/19 04:55:49 PM,11.66,47.23,0.00,0.0,,,,
60,03/11/19 05:05:49 PM,11.65,47.23,0.00,0.0,,,,
61,03/11/19 05:15:49 PM,11.65,47.23,0.00,0.0,,,,
62,03/11/19 05:25:49 PM,11.64,47.19,0.00,0.0,,,,
63,03/11/19 05:35:49 PM,11.64,47.19,0.00,0.0,,,,
64,03/11/19 05:45:49 PM,11.64,47.19,0.00,0.0,,,,
65,03/11/19 05:55:49 PM,11.64,47.16,0.00,0.0,,,,
66,03/11/19 06:05:49 PM,11.63,47.16,0.00,0.0,,,,
67,03/11/19 06:15:49 PM,11.65,47.16,0.00,0.0,,,,
68,03/11/19 06:25:49 PM,11.63,47.16,0.00,0.0,,,,
69,03/11/19 06:35:49 PM,11.62,47.16,0.00,0.0,,,,
70,03/11/19 06:45:49 PM,11.63,47.16,0.00,0.0,,,,
71,03/11/19 06:55:49 PM,11.63,47.16,0.00,0.0,,,,
72,03/11/19 07:05:49 PM,11.62,47.16,0.00,0.0,,,,
73,03/11/19 07:15:49 PM,11.61,47.16,0.00,0.0,,,,
74,03/11/19 07:25:49 PM,11.60,47.16,0.00,0.0,,,,
75,03/11/19 07:35:49 PM,11.61,47.16,0.00,0.0,,,,
76,03/11/19 07:45:49 PM,11.60,47.12,0.00,0.0,,,,
77,03/11/19 07:55:49 PM,11.60,47.12,0.00,0.0,,,,
78,03/11/19 08:05:49 PM,11.59,47.16,0.00,0.0,,,,
79,03/11/19 08:15:49 PM,11.60,47.12,0.00,0.0,,,,
80,03/11/19 08:25:49 PM,11.60,47.16,0.00,0.0,,,,
81,03/11/19 08:35:49 PM,11.59,47.16,0.00,0.0,,,,
82,03/11/19 08:45:49 PM,11.60,47.16,0.00,0.0,,,,
83,03/11/19 08:55:49 PM,11.61,47.16,0.00,0.0,,,,
84,03/11/19 09:05:49 PM,11.60,47.12,0.00,0.0,,,,
85,03/11/19 09:15:49 PM,11.60,47.12,0.00,0.0,,,,
86,03/11/19 09:25:49 PM,11.59,47.12,0.00,0.0,,,,
87,03/11/19 09:35:49 PM,11.60,47.12,0.00,0.0,,,,
88,03/11/19 09:45:49 PM,11.60,47.08,0.00,0.0,,,,
89,03/11/19 09:55:49 PM,11.60,47.08,0.00,0.0,,,,
90,03/11/19 10:05:49 PM,11.60,47.08,0.00,0.0,,,,
91,03/11/19 10:15:49 PM,11.61,47.05,0.00,0.0,,,,
92,03/11/19 10:25:49 PM,11.60,47.05,0.00,0.0,,,,
93,03/11/19 10:35:49 PM,11.60,47.05,0.00,0.0,,,,
94,03/11/19 10:45:49 PM,11.61,47.01,0.00,0.0,,,,
